OBJECTID,INPUT_FID,NEAR_FID,DISTANCE
2208,735,2,5981.124101725983600
2209,736,0,2087.161616071629400
2210,736,1,5652.379418479692500
2211,736,2,8278.765537458381000
2212,737,0,607.588902212354810
2213,737,1,3326.406646067508100
2214,737,2,5978.619524198618800
2215,738,0,1121.509720975939900
2216,738,1,4269.753173382660900
2217,738,2,6879.041995020350400
2218,739,0,343.596478060279820
2219,739,1,3987.758054791106100
2220,739,2,6646.640596678206700
2221,740,0,1375.621650152649600
2222,740,1,3377.263918595550400
2223,740,2,5934.951612989241800
2224,741,0,896.736639985064130
2225,741,1,4650.514260366989200
2226,741,2,7311.882457679505000
2227,742,0,2086.233004274131000
2228,742,1,2605.826227076678600
2229,742,2,5060.304213635471600
2230,743,0,1594.567842855249000
2231,743,1,2837.738546320847900
2232,743,2,5389.565612316472700
2233,744,0,1882.109887064834300
2234,744,1,3878.216220898621900
2235,744,2,6343.519657103784100
2236,745,0,1139.848915052134800
2237,745,1,3117.132504768961600
2238,745,2,5724.699641186297400
2239,746,0,1181.473029098632200
2240,746,1,3590.910953256193800
2241,746,2,6173.928607344406400
2242,747,0,2166.539347135671100
2243,747,1,2511.214083565043400
2244,747,2,4953.750641532107700
2245,748,0,1520.749279453560300
2246,748,1,3006.025805633740700
2247,748,2,5557.524348204490700
2248,749,0,1028.349664938546100
2249,749,1,3816.141519550656100
2250,749,2,6419.180419853494600
2251,750,0,1001.792601881917800
2252,750,1,2916.720331723299800
2253,750,2,5561.457989053637900
2254,751,0,511.647965465352460
2255,751,1,3310.369470095910900
2256,751,2,5971.333443965134400
2257,752,0,406.979290894879450
2258,752,1,3692.838248884830600
2259,752,2,6348.270994568853000
2260,753,0,485.503507022146720
2261,753,1,3901.895707624336400
2262,753,2,6552.302156480378500
2263,754,0,1409.246849585227900
2264,754,1,3271.204672855814400
2265,754,2,5827.101059688348000
2266,755,0,783.216446485487150
2267,755,1,3334.943336747200200
2268,755,2,5971.723115983778400
2269,756,0,562.131173841144120
2270,756,1,3318.349221993125000
2271,756,2,5975.957103969353700
2272,757,0,1448.460108177916900
2273,757,1,3288.311670475832700
2274,757,2,5836.608170701039900
2275,758,0,1748.624733381829200
2276,758,1,2790.091679499325000
2277,758,2,5312.497028135090700
2278,759,0,2128.303492066459500
2279,759,1,5667.728783734172800
2280,759,2,8289.122831762337200
2281,760,0,1376.554237557513300
2282,760,1,4385.286419568472400
2283,760,2,6969.177706161921400
2284,761,0,1959.814760436009000
2285,761,1,2563.212353872024800
2286,761,2,5059.324824705226100
2287,762,0,1620.363060631218300
2288,762,1,2534.652243412208000
2289,762,2,5120.418919656104700
2290,763,0,658.984182286003150
2291,763,1,4402.273299325641300
2292,763,2,7064.226783203310300
2293,764,0,2358.040888665606400
2294,764,1,2880.641807083040900
2295,764,2,5226.184031922441100
2296,765,0,1449.242489774820300
