FID,distance to SAS,distance to stations before,distance decreased
489,1023.972838,248.785062,
490,861.4818041,273.7006999,
491,719.5932505,96.16459205,
492,914.6633007,220.450498,
493,756.4156513,60.63692331,
494,524.9919858,424.4827314,-100.5092544
495,924.1369286,540.5505992,-383.5863294
496,941.8209026,248.3860284,
497,939.8092063,272.2678769,
498,721.6275664,165.1926771,
499,590.572294,425.1329475,-165.4393465
500,867.930563,227.2336724,
501,912.774544,455.7795988,-456.9949452
502,1061.334147,142.462405,
503,913.09089,232.2169964,
504,1095.274947,108.9218084,
505,876.3412101,115.8669537,
506,840.7386982,509.6868532,-331.051845
507,936.7627147,364.1028448,-572.6598699
508,947.844983,111.681299,
509,937.1331324,482.6624726,-454.4706598
510,918.6439961,365.8110851,-552.832911
511,950.1426539,100.3193618,
512,907.7738391,288.9024915,
513,955.5844131,133.570497,
514,943.7502506,230.285381,
515,827.5967737,312.594993,
516,951.283668,501.6918227,-449.5918453
517,844.33273,46.14461901,
518,858.8378143,305.6336902,
519,794.7534631,190.9665759,
520,986.0509475,84.17085406,
521,926.9236488,127.7405503,
522,838.4262672,64.2337333,
523,1028.580089,84.19743591,
524,1002.837359,23.81381921,
525,996.9523064,96.81979413,
526,946.4058344,363.5590825,-582.8467519
527,845.2318545,543.9127721,-301.3190824
528,604.5985925,337.1400234,
529,766.9150932,37.88152079,
530,893.4696248,369.6510149,-523.8186099
531,839.4345496,221.3786063,
532,869.6980904,217.5401847,
533,791.4232172,240.9270764,
534,670.7125642,284.1246635,
535,815.5629183,112.5794434,
536,750.469744,272.1149508,
537,936.8380898,122.4108281,
538,856.7980863,197.1085649,
539,787.6962424,471.3049842,-316.3912582
540,991.5111107,151.9602422,
541,953.7669906,106.0415091,
542,660.4728193,383.393029,-277.0797903
543,762.2438439,160.252374,
544,828.715831,82.47482083,
545,588.8316992,248.2459997,
546,321.8593066,234.0612379,
547,1016.311399,267.4746293,
548,631.0831316,307.2652416,
549,917.2756242,250.3246036,
550,465.8474007,78.08625596,
551,883.30579,413.7327097,
552,645.2017229,216.3432132,
553,730.9040691,161.6834696,
554,328.6673807,262.8631472,
555,697.1779457,106.4617641,
556,508.423905,198.5649494,
557,493.8645675,107.9204466,
558,754.8265253,298.4189958,
559,756.7618007,334.2653296,
560,857.4202708,268.1125727,
561,514.4953221,163.0829541,
562,530.9370919,147.4270996,
563,391.9626372,291.2465042,
564,711.3902303,255.6116638,
565,493.4881872,209.8325396,
566,363.7777813,276.4580655,
567,735.1109551,273.309231,
568,332.8116706,139.6675051,
569,813.53147,51.16755592,
570,417.7471258,134.5337275,
571,740.3758503,270.8648003,
572,821.0255338,265.3637951,
573,684.1601029,258.2582671,
574,702.8347007,104.2732427,
575,456.1341305,192.5836122,
576,419.9800158,204.1697589,
577,247.8160247,234.8685407,
578,332.6547106,201.6068046,
579,476.9259506,84.9486691,
580,336.5481372,186.5811139,
581,885.4715349,243.4706169,
582,628.5378935,171.2329507,
583,656.3224168,212.0481925,
584,872.9987045,103.8541942,
585,826.3906375,157.6722882,
586,660.6064283,321.6810435,
587,894.730476,257.0948668,
588,757.7293113,300.0219211,
589,468.8539682,134.2494259,
590,374.2219087,155.4535281,
591,690.3964686,250.1376067,
592,452.3255356,240.1350213,
593,639.8865057,209.7518366,
594,807.5430273,122.5384829,
595,381.3926919,136.9497335,
596,873.610178,289.7026482,
597,957.860679,311.3310206,
598,356.7320578,114.1228385,
599,720.1696953,152.3003616,
600,791.8330146,97.91968011,
601,707.6564735,106.5319224,
602,746.3039924,390.3774774,
603,819.2053644,402.8250778,
604,434.0396912,211.2902046,
605,416.5777857,231.101031,
606,822.4318699,358.6991989,
607,752.3043358,354.3237245,
608,458.8994281,248.7259847,
609,965.8183135,268.1852594,
610,830.4993722,106.2676506,
611,698.9453612,116.5475964,
612,440.2843208,236.5169051,
613,288.3641921,188.9998426,
614,833.4520508,343.0364788,
615,803.043357,309.5900472,
616,793.549403,299.3041292,
617,694.958109,294.8962707,
618,761.7868875,364.0647158,
619,828.4321504,375.8718744,
620,690.7933512,265.4553195,
621,609.0695917,207.5954146,
622,657.6747017,195.3724425,
623,457.6648433,108.9464374,
624,891.799279,433.6774605,
625,848.3686976,359.6268443,
626,843.1814745,128.8592344,
627,429.6660003,347.9160656,
628,294.0838611,204.2796908,
629,628.3572669,282.0685762,
630,342.2332873,298.9591308,
631,422.1123702,232.1558445,
632,669.641805,136.9382083,
633,362.7777405,108.0645808,
634,754.2655368,59.66414548,
635,816.1383685,80.00147767,
636,926.6568426,465.471791,
637,912.3362045,282.6266619,
638,854.1682493,393.00923,
639,716.4845732,261.2979089,
640,838.9712562,152.5015559,
641,532.2397835,129.8250662,
642,687.2167269,113.8198554,
643,390.908834,113.8097148,
644,452.1333076,106.59244,
645,578.9872577,224.9934908,
646,845.0020696,429.6181545,
647,307.1025342,267.5653901,
648,871.7576466,411.9022495,
649,814.5628536,239.9620263,
650,745.7145984,176.5301516,
651,392.7403169,82.6514264,
652,425.8356483,183.3411698,
653,786.8597889,90.38263813,
654,831.4129628,368.4021942,
655,876.7339162,417.725334,
656,825.6992562,97.62300647,
657,941.4771302,378.0157541,
658,714.8395084,135.6292764,
659,784.4663029,86.83735958,
660,818.3730483,139.7372487,
661,675.5191459,135.2568809,
662,280.2453061,333.0850587,
663,380.2357648,107.823129,
664,814.9259232,344.1717064,
665,933.262898,274.5886413,
666,451.0863861,190.7219981,
667,712.2171791,288.0020909,
668,718.9023272,131.1314419,
669,877.5140006,435.157623,
670,410.7889873,76.00547097,
671,884.7775291,400.3889294,
672,777.638058,380.3434428,
673,634.4828006,254.3981635,
674,330.9190596,142.6257307,
675,730.7528842,260.2639563,
676,964.6253154,362.3779563,
677,800.7474054,330.280223,
678,491.4934061,177.8428945,
679,716.6100397,287.492949,
680,995.7395135,314.2687068,
681,441.0477962,102.788268,
682,785.7489952,173.1458013,
683,904.2818709,422.2844922,
684,434.2473591,234.9183357,
685,853.4149096,304.6855159,
686,629.0002427,200.8177415,
687,734.2084397,67.87933926,
688,712.3185882,358.5187491,
689,615.5460923,294.5503794,
690,971.4213688,276.9589789,
691,700.0149066,105.186112,
692,791.4197137,321.2915643,
693,694.3667871,108.0833539,
694,386.0465599,318.8479437,
695,718.1042581,382.8056898,
696,569.6248134,174.9059834,
697,357.2416204,227.9292061,
698,909.8230358,454.0785651,
699,695.6383719,205.8290958,
700,897.1686569,260.6588491,
701,288.9633239,272.5977164,
702,333.207439,322.4133066,
703,782.0172241,312.3715975,
704,355.2252511,313.1021217,
705,370.5303228,254.9029372,
706,372.3112367,111.7380928,
707,652.4067963,154.3296365,
708,749.3485978,129.0435057,
709,439.6097571,350.0388193,
710,713.2470102,219.6664874,
711,735.6599556,115.9453001,
712,735.060924,379.7903018,
713,816.5905102,324.4116699,
714,710.7530984,140.209475,
715,963.2958114,228.9595826,
716,397.6151412,339.6298139,
717,909.0566611,152.6404448,
718,1036.374623,299.003346,
719,471.4823815,81.41355319,
720,703.3313559,246.6050063,
721,319.5896523,192.5278122,
722,911.2176752,430.0725141,
